filename,sentnolist,amp_pos,amp_neg,neg_pos,neg_neg,bad_pos,bad_neg,good_pos,good_neg,LMpositivesent,LMnegtivesent,positive_perf,negative_perf,verbose_good,verbose_bad,total_sent_cnt,sentlen
none,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
none,9,0,0,0,0,0,0,0,0,2,3,0,0,1,4,1,163
none,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46
none,11,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,59
none,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
none,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
none,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
none,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
none,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,26
none,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
none,18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,33
none,19,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,42
none,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
none,21,0,0,0,0,0,0,0,0,2,2,0,0,2,1,1,100
none,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
none,23,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,61
none,24,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,62
none,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50
none,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
none,27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,53
none,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,36
none,29,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,55
none,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19
none,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
none,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
none,33,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,31
none,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
none,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
none,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
none,37,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,7
none,38,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,29
none,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
none,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
none,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,30
none,42,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,32
none,43,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,23
none,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
none,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,26
none,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
none,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
none,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
none,49,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,23
none,50,3,0,0,0,0,0,0,0,1,2,1,0,0,2,1,95
none,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,29
none,52,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,16
none,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
none,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
none,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74
none,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35
none,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22
none,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36
none,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
none,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
none,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47
none,62,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,13
none,63,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,36
none,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52
none,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
none,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
none,67,0,0,0,0,0,0,3,0,1,0,1,0,0,0,1,22
none,68,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,37
none,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
none,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
none,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
example_input/20-2003mda.txt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
none,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
none,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
none,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,46
none,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,85
none,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
none,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
none,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
none,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45
none,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,75
none,11,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,47
none,12,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,79
none,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
none,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
none,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,29
none,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
none,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33
none,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
none,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23
none,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
none,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,55
none,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35
none,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
none,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23
none,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
none,26,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,8
none,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
none,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
none,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5
none,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
none,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
none,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
none,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
none,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
none,35,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6
none,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
none,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
none,38,0,0,0,0,0,0,0,0,2,2,0,0,1,2,1,23
none,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
none,40,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,16
none,41,0,0,0,0,0,0,0,0,1,3,0,0,0,3,1,35
none,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
none,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59
none,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36
none,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
none,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34
none,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,41
none,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
none,49,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,25
none,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,71
none,51,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,71
none,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33
none,53,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,20
none,54,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,92
none,55,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,69
none,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,51
none,57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20
none,58,0,0,0,0,0,0,0,0,4,2,0,0,2,2,1,202
none,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
none,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22
none,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
none,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
none,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20
none,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
none,65,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,58
